Date,Predicted,Count
2016-12-13,negative,1
2016-12-13,neutral,3
2016-12-13,positive,1
2016-12-15,negative,1
2016-12-15,neutral,2
2016-12-15,positive,1
2016-12-16,negative,1
2016-12-16,neutral,1
2016-12-16,positive,1
2016-12-17,negative,1
2016-12-17,neutral,1
2016-12-21,neutral,2
2016-12-22,neutral,5
2016-12-22,positive,1
2016-12-23,neutral,1
2016-12-27,neutral,1
2016-12-28,negative,2
2016-12-28,neutral,2
2016-12-29,positive,1
2016-12-31,neutral,2
2017-01-12,neutral,2
2017-01-12,positive,1
2017-01-13,neutral,2
2017-01-14,negative,1
2017-01-14,neutral,2
2017-01-15,neutral,4
2017-01-16,neutral,3
2017-01-17,neutral,7
2017-01-17,positive,1
2017-01-23,neutral,4
2017-01-24,neutral,1
